Time,Market_value,Volume,Price
1546300800,125063781063.16700,11734618363.752700,0
1546308000,125339914848.94500,11464419727.819700,0
1546315200,125992719781.47000,11483709721.858700,0
1546322400,126185943568.29000,11557316965.927600,0
1546329600,126868183036.7660,11785290582.677400,0
1546336800,126857149083.57500,11592072892.013600,0
1546344000,127241211671.05300,11147792348.045600,0
1546351200,126648694161.25200,11038633650.23500,0
1546358400,126126627473.76900,10871049330.76110,0
1546365600,125665969868.6130,10782170527.088000,0
1546372800,127779847473.47300,10750072227.509700,0
1546380000,128319076328.01800,11004552766.4279,0
1546387200,129790458635.34500,11651345165.032100,0
1546394400,129673223570.00300,12126215220.03830,0
1546401600,129404071558.89100,11863843302.978800,0
1546408800,129384924573.44100,11829993151.00380,0
1546416000,130346283543.4450,12322672086.519700,0
1546423200,130869269609.57600,12745196234.402500,0
1546430400,131401647554.44400,13353333097.676400,0
1546437600,131904733423.87200,13452205508.79010,0
1546444800,132279037454.63600,13937489629.922700,0
1546452000,132507483885.81800,14488928408.234500,0
1546459200,133309166558.96300,17564214246.602800,0
1546466400,134287197223.24600,14854859312.09120,0
1546473600,133641063531.50100,14938669768.932400,0
1546480800,133376498058.94800,14735530128.705700,0
1546488000,133318262148.54500,14954370058.135100,0
1546495200,132886951355.90400,15023367401.599100,0
1546502400,132384246018.93400,14498767388.630400,0
1546509600,131744761742.55500,14315701025.729700,0
1546516800,131663208273.29800,14046522318.076300,0
1546524000,131656621066.51800,13659237584.922000,0
1546531200,130302287270.93300,13402330650.268200,0
1546538400,129809281916.31500,13122893810.589400,0
1546545600,130466884982.9190,12690547046.553900,0
1546552800,130428586157.53500,12102575027.727800,0
1546560000,130010685066.95200,11863820175.109000,0
1546560000,129911463052.53700,11858399275.778800,0
1546567200,130278487615.87900,11901213281.98290,0
1546574400,131188888158.38700,12187115860.252300,0
1546581600,131956326344.48500,12587021219.208900,0
1546588800,131586640171.88100,12681817679.932000,0
1546596000,131298903819.07600,12489361752.428000,0
1546596000,131292769962.45200,12488670871.378500,0
1546603200,130707452485.14600,12351456871.860600,0
1546610400,129656165846.29100,12596071322.000100,0
1546617600,129643160783.23200,12578204452.736600,0
1546624800,129504384839.27700,12344935355.779500,0
1546632000,130860190112.14600,15064644811.842400,0
1546639200,132033901934.17500,16639381256.998000,0
1546646400,132991969021.74900,16594705680.85700,0
1546653600,133266570712.59600,14964508599.162600,0
1546660800,133477110943.35300,15080695226.854000,0
1546668000,132847982984.32400,15013405768.489100,0
1546675200,132288037257.30100,14849984105.377100,0
1546682400,132294374471.11300,14906393455.039800,0
1546689600,132852783556.55500,15204034333.885500,0
1546696800,132942721700.26200,15187039975.904700,0
1546704000,132967283299.7960,15403976861.140600,0
1546711200,133189999820.5780,15395088037.622800,0
1546718400,133107321948.56000,15214414218.661400,0
1546725600,132065729510.51900,14966054776.371500,0
1546732800,132053393034.2700,14647415770.03930,0
1546740000,131309179277.51300,14449494396.582700,0
1546747200,131530112349.73900,14232886542.409900,0
1546754400,131504252648.79900,14124948006.27750,0
1546761600,131419571348.1650,14062944066.846500,0
1546768800,132178120956.16100,14218598094.03290,0
1546776000,132397321255.50900,14185874437.505400,0
1546783200,132512948139.29400,13980387342.751100,0
1546790400,134649315400.72800,14134913440.303500,0
1546797600,138505624689.459,15319354643.224700,0
1546804800,138105352038.09400,15728890933.703700,0
1546812000,137907136884.07400,15507235952.005900,0
1546819200,138045514835.42200,15420987345.946800,0
1546826400,137363593142.60500,15355270351.874000,0
1546833600,137371655734.67400,15438788686.779100,0
