Date,compound,neg,neu,pos
2020-01-01,0.52636,0.048799999999999996,0.8720000000000001,0.0792
2020-01-02,0.5269111111111111,0.04022222222222223,0.8854444444444444,0.07444444444444445
2020-01-03,0.07485000000000003,0.058166666666666665,0.8783333333333333,0.06383333333333334
2020-01-04,0.17056,0.044,0.8904,0.0656
2020-01-05,0.6556166666666666,0.045000000000000005,0.8801666666666668,0.07466666666666666
2020-01-06,0.6558,0.032888888888888884,0.8875555555555557,0.07955555555555555
2020-01-07,0.33286666666666664,0.036833333333333336,0.9049999999999999,0.058166666666666665
2020-01-08,0.9225777777777778,0.03766666666666666,0.8729999999999999,0.08944444444444444
2020-01-09,0.02252499999999999,0.06675,0.832,0.10124999999999999
2020-01-10,0.91942,0.027800000000000002,0.9004000000000001,0.0718
2020-01-11,0.57198,0.0382,0.8908000000000001,0.0712
2020-01-12,0.43754,0.0534,0.85,0.09659999999999999
2020-01-13,0.7913888888888889,0.02688888888888889,0.8794444444444444,0.09344444444444444
2020-01-14,0.75823,0.021400000000000002,0.8926000000000001,0.08589999999999999
2020-01-15,0.9582599999999999,0.036199999999999996,0.8722,0.092
2020-01-16,0.68375,0.032,0.89525,0.07275
2020-01-17,0.9647,0.027999999999999997,0.872,0.09999999999999999
2020-01-18,0.5906666666666668,0.043333333333333335,0.8928333333333334,0.06399999999999999
2020-01-19,0.7693833333333333,0.04683333333333334,0.8740000000000001,0.07883333333333332
2020-01-20,0.6905666666666669,0.03593333333333334,0.8804666666666666,0.08359999999999998
2020-01-21,0.5265166666666666,0.043166666666666666,0.8721666666666668,0.08466666666666667
2020-01-22,0.5915454545454546,0.047363636363636365,0.8602727272727274,0.09227272727272727
2020-01-23,0.16738571428571428,0.07057142857142858,0.8568571428571428,0.07257142857142858
2020-01-24,0.43852857142857143,0.03571428571428572,0.8794285714285716,0.085
2020-01-25,0.24786000000000002,0.03899999999999999,0.881,0.07980000000000001
2020-01-26,0.9861249999999999,0.03575,0.8645,0.0995
2020-01-27,0.6184076923076922,0.04092307692307692,0.8837692307692306,0.07530769230769231
2020-01-28,0.84075,0.04750000000000001,0.871,0.08116666666666668
2020-01-29,0.6863,0.043583333333333335,0.8805000000000001,0.07591666666666665
2020-01-30,0.8134083333333333,0.027083333333333334,0.8906666666666667,0.082
2020-01-31,0.63427,0.0406,0.8840999999999999,0.0754
2020-02-01,0.8031166666666666,0.03983333333333334,0.8818333333333334,0.0785
2020-02-02,0.72165,0.04,0.899,0.0605
2020-02-03,0.6812428571428571,0.03671428571428571,0.8914285714285715,0.07171428571428572
2020-02-04,0.9736000000000001,0.02322222222222222,0.891,0.08577777777777777
2020-02-05,0.7916,0.022,0.9056,0.0721
2020-02-06,0.25104,0.041,0.8872000000000002,0.072
2020-02-07,0.5275833333333333,0.03866666666666667,0.8748333333333335,0.08633333333333333
2020-02-08,0.8543,0.04466666666666667,0.8561666666666667,0.09900000000000002
2020-02-09,0.9825666666666667,0.035333333333333335,0.8651666666666666,0.09949999999999999
2020-02-10,0.6005333333333334,0.036500000000000005,0.871,0.09233333333333334
2020-02-11,0.5825846153846155,0.036923076923076927,0.8965384615384615,0.06638461538461539
2020-02-12,0.26711999999999997,0.0454,0.8888,0.0658
2020-02-13,0.1991,0.0578,0.8544,0.0876
2020-02-14,0.9346000000000001,0.021500000000000002,0.9040000000000001,0.074625
2020-02-15,0.56886,0.056799999999999996,0.866,0.0776
2020-02-16,0.053100000000000036,0.04666666666666666,0.9013333333333334,0.05216666666666667
2020-02-17,0.43732499999999996,0.04675,0.884875,0.06875
2020-02-18,0.9562666666666667,0.034499999999999996,0.8704999999999999,0.09499999999999999
2020-02-19,0.529,0.039125,0.8895,0.07125
2020-02-20,0.6594076923076921,0.03584615384615385,0.8742307692307691,0.09
2020-02-21,0.6638285714285714,0.047714285714285716,0.8794285714285713,0.073
2020-02-22,-0.11291428571428574,0.061,0.8685714285714285,0.07042857142857142
2020-02-23,0.8336333333333336,0.02466666666666667,0.9045,0.07066666666666667
2020-02-24,0.7490181818181817,0.03363636363636364,0.8995454545454545,0.0668181818181818
2020-02-25,0.6068833333333333,0.0365,0.8883333333333333,0.07516666666666666
2020-02-26,0.19058888888888886,0.060444444444444446,0.8698888888888889,0.0698888888888889
2020-02-27,0.6642285714285714,0.04171428571428571,0.8731428571428571,0.08507142857142859
2020-02-28,0.3108666666666667,0.05483333333333334,0.8721666666666668,0.07316666666666666
2020-02-29,0.4675833333333334,0.050666666666666665,0.8719999999999999,0.07783333333333332
2020-03-01,0.6152666666666667,0.05716666666666667,0.8725,0.07083333333333333
2020-03-02,0.5559571428571428,0.041285714285714294,0.8951428571428571,0.06371428571428571
2020-03-03,0.9689833333333332,0.0345,0.8743333333333333,0.09133333333333334
2020-03-04,0.4870636363636363,0.046363636363636364,0.8885454545454544,0.065
2020-03-05,0.5448307692307692,0.04284615384615385,0.8669230769230768,0.09046153846153847
2020-03-06,0.5336700000000001,0.044000000000000004,0.8777000000000001,0.07830000000000001
2020-03-07,0.74325,0.0422,0.8780999999999999,0.0799
2020-03-08,0.16174999999999998,0.05683333333333334,0.8588333333333334,0.08416666666666667
2020-03-09,-0.05605384615384615,0.06976923076923076,0.86,0.07007692307692308
2020-03-10,0.4806083333333333,0.049416666666666664,0.8764166666666666,0.07425
2020-03-11,0.72649,0.04529999999999999,0.8446999999999999,0.1099
2020-03-12,0.09940714285714287,0.07307142857142856,0.8552142857142856,0.07192857142857144
2020-03-13,-0.0515222222222222,0.06427777777777778,0.8770000000000001,0.05883333333333333
