Date,compound,neg,neu,pos
2019-01-01,-0.28426666666666700,0.043500000000000000,0.9246666666666670,0.03166666666666670
2019-01-02,0.04138750000000000,0.043125,0.9097500000000000,0.047375
2019-01-03,0.37506666666666700,0.04066666666666670,0.8883333333333330,0.0715
2019-01-04,0.32885,0.039,0.9275,0.0335
2019-01-05,0.331,0.0505,0.8935,0.056
2019-01-06,-0.977,0.10300000000000000,0.8475000000000000,0.0495
2019-01-07,0.42167272727272700,0.03045454545454550,0.9095454545454550,0.06018181818181820
2019-01-08,0.43894285714285700,0.037714285714285700,0.8958571428571430,0.06642857142857140
2019-01-09,0.28433333333333300,0.043166666666666700,0.8861666666666670,0.0705
2019-01-10,-0.08424000000000000,0.0386,0.915,0.046400000000000000
2019-01-11,0.3147,0.026,0.923,0.051
2019-01-12,0.64725,0.02825,0.9092500000000000,0.06275
2019-01-13,-0.1422,0.0405,0.9280000000000000,0.032
2019-01-14,0.17597000000000000,0.043300000000000000,0.8996000000000000,0.057300000000000000
2019-01-15,0.6968,0.03133333333333330,0.906,0.063
2019-01-16,0.6686600000000000,0.0516,0.8658000000000000,0.0822
2019-01-17,-0.2635,0.044333333333333300,0.9160000000000000,0.03966666666666670
2019-01-18,0.3162000000000000,0.0298,0.9182,0.052000000000000000
2019-01-19,0.10765000000000000,0.0625,0.841,0.0965
2019-01-20,0.86684,0.030000000000000000,0.8978000000000000,0.0722
2019-01-21,0.5510875000000000,0.032375,0.906875,0.060625000000000000
2019-01-22,-0.01926666666666670,0.05000000000000000,0.8998333333333330,0.050500000000000000
2019-01-23,0.7104625,0.027500000000000000,0.901875,0.07050000000000000
2019-01-24,0.7687375,0.022125,0.92825,0.049625000000000000
2019-01-25,0.547,0.03233333333333330,0.8981666666666670,0.06966666666666670
2019-01-26,0.5776400000000000,0.029000000000000000,0.907,0.064
2019-01-27,-0.013000000000000000,0.0645,0.851,0.08450000000000000
2019-01-28,0.9696400000000000,0.019800000000000000,0.8968,0.083
2019-01-29,0.6618857142857140,0.022714285714285700,0.9092857142857140,0.06771428571428570
2019-01-30,0.19292500000000000,0.058625,0.8757500000000000,0.06575
2019-01-31,0.4036857142857140,0.022,0.9267142857142860,0.05157142857142860
2019-02-01,0.37023333333333300,0.0395,0.9115000000000000,0.049166666666666700
2019-02-02,0.11765000000000000,0.0505,0.897,0.052500000000000000
2019-02-03,-0.2086285714285710,0.05028571428571430,0.9012857142857140,0.048285714285714300
2019-02-04,0.376425,0.041500000000000000,0.897,0.06125
2019-02-05,0.22672000000000000,0.0372,0.899,0.06380000000000000
2019-02-06,0.4123909090909090,0.03090909090909090,0.9051818181818180,0.064
2019-02-07,0.14787500000000000,0.046875,0.90475,0.04850000000000000
2019-02-08,-0.078225,0.0315,0.9292500000000000,0.03925
2019-02-09,0.94905,0.003,0.921,0.0765
2019-02-10,0.4608,0.036250000000000000,0.8892500000000000,0.07475000000000000
2019-02-11,0.9037000000000000,0.017400000000000000,0.9174000000000000,0.065
2019-02-12,0.7803625000000000,0.0285,0.89275,0.07875000000000000
2019-02-13,0.6996076923076920,0.031538461538461500,0.9003846153846160,0.06823076923076920
2019-02-14,0.04965000000000010,0.02316666666666670,0.9416666666666670,0.035500000000000000
2019-02-15,0.32044545454545500,0.030363636363636400,0.9197272727272730,0.049727272727272700
2019-02-16,0.563,0.045600000000000000,0.8854,0.06900000000000000
2019-02-17,0.535675,0.04725,0.87575,0.07725000000000000
2019-02-18,0.25765,0.0445,0.896875,0.05862500000000000
2019-02-19,0.4489166666666670,0.037,0.891,0.07200000000000000
2019-02-20,0.7394777777777780,0.03177777777777780,0.8944444444444440,0.07366666666666670
2019-02-21,0.8009166666666670,0.018666666666666700,0.931,0.050666666666666700
2019-02-22,0.623588888888889,0.027555555555555600,0.9128888888888890,0.059333333333333300
2019-02-23,0.9607,0.0,0.91,0.09
2019-02-24,0.9055,0.0,0.952,0.048
2019-02-25,0.13740000000000000,0.0498,0.8998000000000000,0.0504
2019-02-26,0.08281666666666670,0.049166666666666700,0.8973333333333330,0.05383333333333330
2019-02-27,0.41237142857142900,0.027857142857142900,0.908,0.06400000000000000
2019-02-28,0.09101666666666670,0.05533333333333330,0.8955000000000000,0.04883333333333330
2019-03-01,0.4144375,0.050375000000000000,0.8740000000000000,0.075875
2019-03-02,0.014550000000000000,0.0235,0.93,0.0465
2019-03-03,0.37568,0.035800000000000000,0.8968,0.06740000000000000
2019-03-04,0.03705000000000000,0.04775,0.8772500000000000,0.07525
2019-03-05,0.64962,0.036700000000000000,0.8923,0.0712
2019-03-06,0.13292000000000000,0.0446,0.8966000000000000,0.058800000000000000
2019-03-07,0.9504750000000000,0.019625000000000000,0.9025,0.07787500000000000
2019-03-08,-0.34785,0.043,0.909,0.048
2019-03-09,0.9373,0.014,0.936,0.049
2019-03-10,0.7786500000000000,0.014500000000000000,0.93175,0.054000000000000000
2019-03-11,0.69985,0.04475,0.8767500000000000,0.07875000000000000
2019-03-12,0.6427333333333330,0.014000000000000000,0.9136666666666670,0.07233333333333330
2019-03-13,0.8975666666666670,0.026,0.8971666666666670,0.077
2019-03-14,0.6864909090909090,0.02081818181818180,0.8963636363636370,0.08281818181818180
2019-03-15,0.2295428571428570,0.061285714285714300,0.8687142857142860,0.06985714285714290
2019-03-16,0.35955000000000000,0.01725,0.94275,0.04
2019-03-17,-0.018100000000000000,0.059,0.8905000000000000,0.05
2019-03-18,0.20818333333333300,0.035166666666666700,0.9198333333333330,0.045000000000000000
