Date, Change
2019-01-01,-0.0017279666897987514
2019-01-02,-0.0010548230395558624
2019-01-03,0.0007356002775850117
2019-01-04,-0.0002845246356696744
2019-01-05,0.0006870229007633583
2019-01-06,-0.004531575294934078
2019-01-07,0.0008952116585704366
2019-01-08,-0.0006800832755031241
2019-01-09,0.003913948646773074
2019-01-10,0.0028383067314365056
2019-01-11,0.00015961138098542676
2019-01-12,0.0002220680083275505
2019-01-13,0.0015058986814712033
2019-01-14,-0.002678695350451079
2019-01-15,0.0016238723108952147
2019-01-16,-0.00029840388619014593
2019-01-17,-0.0006315058986814708
2019-01-18,0.00034698126301179675
2019-01-19,-0.0013671061762664815
2019-01-20,0.003060374739764057
2019-01-21,0.0003261623872310893
2019-01-22,-0.0010548230395558643
2019-01-23,0.0002290076335877863
2019-01-24,-0.00040943789035392
2019-01-25,-0.001186675919500347
2019-01-26,0.0013948646773074246
2019-01-27,0.002276197085357392
2019-01-28,0.0014018043025676614
2019-01-29,-0.0010340041637751565
2019-01-30,-0.0008674531575294945
2019-01-31,0.0013879250520471892
2019-02-01,-0.0008049965301873698
2019-02-02,-3.469812630117915e-05
2019-02-03,0.00017349063150589848
2019-02-04,-6.93962526023595e-06
2019-02-05,0.0008327550312283138
2019-02-06,0.00015267175572519046
2019-02-07,0.0002428868841082579
2019-02-08,-0.0053990284524635624
2019-02-09,0.0005204718945176957
2019-02-10,-6.939625260236075e-06
2019-02-11,0.0003608605135322688
2019-02-12,-0.00029146426092991023
2019-02-13,0.0003816793893129768
2019-02-14,-5.551700208188752e-05
2019-02-15,-0.00024982650936849425
2019-02-16,-0.00022206800832755017
2019-02-17,-0.0016724496877168627
2019-02-18,-0.0037959750173490662
2019-02-19,0.00011797362942401176
2019-02-20,-0.0008882720333102025
2019-02-21,0.0006245662734212349
2019-02-22,-0.0006453851492019431
2019-02-23,-0.004018043025676609
2019-02-24,0.007043719639139478
2019-02-25,-0.0006731436502428863
2019-02-26,-0.0004371963913948642
2019-02-27,0.00015961138098542738
2019-02-28,-0.0002220680083275505
2019-03-01,0.00032616238723108955
2019-03-02,-0.00023594725884802233
2019-03-03,0.0016516308119361557
2019-03-04,9.021512838306738e-05
2019-03-05,-0.002262317834836913
2019-03-06,-0.00035392088827203386
2019-03-07,-0.00028452463566967356
2019-03-08,-0.00043025676613463003
2019-03-09,-1.3879250520472335e-05
2019-03-10,0.00018826937002172303
2019-03-11,0.0009368494101318534
2019-03-12,-0.0006315058986814706
2019-03-13,0.00014573213046495495
2019-03-14,-0.0002428868841082579
2019-03-15,-0.002803608605135325
2019-03-16,0.0008466342817487857
2019-03-17,-3.469812630117925e-05
2019-03-18,6.939625260235976e-06
2019-03-19,-0.0005065926439972242
2019-03-20,-0.0005968077723802913
2019-03-21,0.0008813324080499653
2019-03-22,-0.0005204718945176962
2019-03-23,0.0005135322692574602
2019-03-24,-9.715475364330327e-05
2019-03-25,0.0013809854267869555
2019-03-26,-0.0015058986814711984
2019-03-27,-0.0004996530187369884
2019-03-28,-0.00011103400416377559
2019-03-29,-0.00133934767522554
2019-03-30,0.00014573213046495466
2019-03-31,-0.0006939625260235944
2019-04-01,-0.009590562109646079
2019-04-02,-0.0036224843858431647
2019-04-03,-0.0012699514226231804
2019-04-04,0.0015197779319916754
2019-04-05,-0.0011311589174184602
2019-04-06,-0.002172102706453855
2019-04-07,-0.0020333102012491354
2019-04-08,0.0004441360166550995
2019-04-09,-0.0002845246356696741
2019-04-10,0.00020124913254684145
2019-04-11,0.0025121443442054116
2019-04-12,-0.0011172796668979879
2019-04-13,0.0010062456627342128
2019-04-14,-0.0018043025676613448
2019-04-15,0.0012977099236641224
2019-04-16,-0.002081887578070788
2019-04-17,-0.0008049965301873704
2019-04-18,0.000353920888272032
2019-04-19,-0.0011311589174184597
2019-04-20,2.7758501040943592e-05
2019-04-21,0.000458015267175572
2019-04-22,-0.0033726578764746626
2019-04-23,-0.0009229701596113806
2019-04-24,0.002206800832755033
2019-04-25,0.002817487855655788
2019-04-26,0.0002498265093684942
2019-04-27,-6.939625260235979e-05
2019-04-28,-0.00011103400416377583
2019-04-29,0.000506592643997224
2019-04-30,-0.0024774462179042297
2019-05-01,-0.00015961138098542717
2019-05-02,-0.002519083969465649
2019-05-03,-0.0026370575988896644
2019-05-04,-9.715475364330243e-05
2019-05-05,0.0015197779319916702
2019-05-06,-0.003435114503816792
2019-05-07,0.0007356002775850097
2019-05-08,-0.0029701596113809827
2019-05-09,-0.0025815405968077692
2019-05-10,-0.005468424705065927
2019-05-11,-0.005898681471200558
2019-05-12,0.0025329632199861192
2019-05-13,-0.009465648854961832
2019-05-14,0.00026370575988896613
2019-05-15,-0.0010340041637751556
2019-05-16,0.008334489937543373
2019-05-17,-0.0020055517002081896
2019-05-18,-0.005170020818875777
2019-05-19,0.00029146426092991083
2019-05-20,-0.0006037473976405282
2019-05-21,0.00011797362942401064
2019-05-22,0.002546842470506593
2019-05-23,-0.0021721027064538537
2019-05-24,-0.0006592643997224133
2019-05-25,-0.000423317140874394
2019-05-26,-0.0065579458709229795
2019-05-27,0.0002845246356696734
2019-05-28,0.0017418459403192232
2019-05-29,-0.0016516308119361538
2019-05-30,0.002546842470506595
2019-05-31,-0.0021998612074947905
2019-06-01,-0.0005690492713393472
2019-06-02,0.0005690492713393483
2019-06-03,0.005690492713393477
2019-06-04,0.0005274115197779317
2019-06-05,-0.0006037473976405271
2019-06-06,-0.0009784871616932702
2019-06-07,0.00010409437890353985
2019-06-08,0.00025676613462872897
2019-06-09,0.0017487855655794649
2019-06-10,-0.002248438584316449
